[13:43:08.1319][1][Info]: enter Launch procedure 
[13:43:08.2489][1][Info]: ===>加载配置 
[13:43:09.8059][1][Info]: ===>开始解析BuffConfig 
[13:43:09.8129][1][Info]: <===解析BuffConfig完毕 
[13:43:09.8129][1][Info]: ===>开始解析SkillConfig 
[13:43:09.8349][1][Info]: <===解析SkillConfig完毕 
[13:43:09.8419][1][Info]: <===配置加载完毕 
[13:43:09.9746][2][Info]: enter Init Procedure 
[13:43:09.9931][2][Warn]: Not found awake system:<PlayerComponent> 
[13:43:17.5177][1357][Info]: 登录 
[13:43:17.5177][1357][Info]: 1001 
[13:43:17.5317][1357][Info]: 大厅阶段 
[13:43:17.5847][1358][Info]: Scene Add Entity, Current Count:1 
[13:43:24.8528][2546][Info]: Scene Remove Entity, Current Count:0 
[13:43:24.8538][2546][Info]: Scene Add Entity, Current Count:1 
[13:43:24.9638][2547][Info]: (0.01, 0.00, -0.05)====animator.velocity========= 
[13:43:24.9638][2547][Info]: (0.00, 0.00, -0.02)=====transform.position======== 
[13:43:25.1057][2548][Info]: (0.01, 0.00, -0.01)====animator.velocity========= 
[13:43:25.1057][2548][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.1917][2549][Info]: (0.01, 0.00, 0.00)====animator.velocity========= 
[13:43:25.1917][2549][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.2027][2550][Info]: (0.01, 0.00, 0.01)====animator.velocity========= 
[13:43:25.2027][2550][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.2137][2551][Info]: (0.01, 0.00, 0.01)====animator.velocity========= 
[13:43:25.2137][2551][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.2137][2552][Info]: (0.01, 0.00, 0.02)====animator.velocity========= 
[13:43:25.2137][2552][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.2287][2553][Info]: (0.01, 0.00, 0.02)====animator.velocity========= 
[13:43:25.2287][2553][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.2287][2554][Info]: (0.01, 0.00, 0.02)====animator.velocity========= 
[13:43:25.2287][2554][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.2287][2555][Info]: (0.01, 0.00, 0.02)====animator.velocity========= 
[13:43:25.2437][2555][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.2437][2556][Info]: (0.01, 0.00, 0.02)====animator.velocity========= 
[13:43:25.2437][2556][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.2437][2557][Info]: (0.01, 0.00, 0.02)====animator.velocity========= 
[13:43:25.2437][2557][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.2637][2558][Info]: (0.01, 0.00, 0.02)====animator.velocity========= 
[13:43:25.2637][2558][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.2637][2559][Info]: (0.01, 0.00, 0.03)====animator.velocity========= 
[13:43:25.2637][2559][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.2776][2560][Info]: (0.01, 0.00, 0.03)====animator.velocity========= 
[13:43:25.2776][2560][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.2776][2561][Info]: (0.01, 0.00, 0.03)====animator.velocity========= 
[13:43:25.2776][2561][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.2936][2562][Info]: (0.01, 0.00, 0.03)====animator.velocity========= 
[13:43:25.2936][2562][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.2936][2563][Info]: (0.01, 0.00, 0.03)====animator.velocity========= 
[13:43:25.2936][2563][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.3066][2564][Info]: (0.01, 0.00, 0.03)====animator.velocity========= 
[13:43:25.3066][2564][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.3066][2565][Info]: (0.01, 0.00, 0.03)====animator.velocity========= 
[13:43:25.3066][2565][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.3066][2566][Info]: (0.01, 0.00, 0.03)====animator.velocity========= 
[13:43:25.3226][2566][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.3226][2567][Info]: (0.01, 0.00, 0.03)====animator.velocity========= 
[13:43:25.3226][2567][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.3386][2568][Info]: (0.01, 0.00, 0.03)====animator.velocity========= 
[13:43:25.3386][2568][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.3386][2569][Info]: (0.00, 0.00, 0.03)====animator.velocity========= 
[13:43:25.3386][2569][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.3536][2570][Info]: (0.00, 0.00, 0.03)====animator.velocity========= 
[13:43:25.3536][2570][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.3536][2571][Info]: (0.00, 0.00, 0.04)====animator.velocity========= 
[13:43:25.3536][2571][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.3536][2572][Info]: (0.00, 0.00, 0.04)====animator.velocity========= 
[13:43:25.3696][2572][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.3696][2573][Info]: (0.00, 0.00, 0.04)====animator.velocity========= 
[13:43:25.3696][2573][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.3696][2574][Info]: (0.00, 0.00, 0.04)====animator.velocity========= 
[13:43:25.3696][2574][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:43:25.3886][2575][Info]: (0.00, 0.00, 0.04)====animator.velocity========= 
[13:43:25.3886][2575][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.3886][2576][Info]: (0.00, 0.00, 0.04)====animator.velocity========= 
[13:43:25.3886][2576][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.4026][2577][Info]: (0.00, 0.00, 0.04)====animator.velocity========= 
[13:43:25.4026][2577][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.4026][2578][Info]: (0.00, 0.00, 0.04)====animator.velocity========= 
[13:43:25.4026][2578][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.4206][2579][Info]: (0.00, 0.00, 0.04)====animator.velocity========= 
[13:43:25.4206][2579][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.4206][2580][Info]: (0.00, 0.00, 0.04)====animator.velocity========= 
[13:43:25.4206][2580][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.4376][2581][Info]: (0.00, 0.00, 0.04)====animator.velocity========= 
[13:43:25.4376][2581][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.4376][2582][Info]: (0.00, 0.00, 0.04)====animator.velocity========= 
[13:43:25.4376][2582][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.4531][2583][Info]: (0.00, 0.00, 0.04)====animator.velocity========= 
[13:43:25.4531][2583][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.4531][2584][Info]: (0.00, 0.00, 0.04)====animator.velocity========= 
[13:43:25.4531][2584][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.4681][2585][Info]: (0.00, 0.00, 0.04)====animator.velocity========= 
[13:43:25.4681][2585][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.4681][2586][Info]: (0.00, 0.00, 0.04)====animator.velocity========= 
[13:43:25.4681][2586][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.4841][2587][Info]: (0.00, 0.00, 0.04)====animator.velocity========= 
[13:43:25.4841][2587][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.4841][2588][Info]: (0.00, 0.00, 0.04)====animator.velocity========= 
[13:43:25.4841][2588][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.4991][2589][Info]: (0.00, 0.00, 0.04)====animator.velocity========= 
[13:43:25.4991][2589][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.4991][2590][Info]: (0.00, 0.00, 0.04)====animator.velocity========= 
[13:43:25.4991][2590][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.5141][2591][Info]: (0.00, 0.00, 0.04)====animator.velocity========= 
[13:43:25.5141][2591][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.5141][2592][Info]: (0.00, 0.00, 0.04)====animator.velocity========= 
[13:43:25.5141][2592][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.5286][2593][Info]: (0.00, 0.00, 0.04)====animator.velocity========= 
[13:43:25.5286][2593][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.5286][2594][Info]: (0.00, 0.00, 0.05)====animator.velocity========= 
[13:43:25.5286][2594][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.5437][2595][Info]: (0.00, 0.00, 0.05)====animator.velocity========= 
[13:43:25.5437][2595][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.5437][2596][Info]: (0.00, 0.00, 0.05)====animator.velocity========= 
[13:43:25.5437][2596][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.5589][2597][Info]: (0.00, 0.00, 0.05)====animator.velocity========= 
[13:43:25.5589][2597][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.5589][2598][Info]: (0.00, 0.00, 0.05)====animator.velocity========= 
[13:43:25.5589][2598][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.5749][2599][Info]: (0.00, 0.00, 0.05)====animator.velocity========= 
[13:43:25.5749][2599][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.5749][2600][Info]: (-0.01, 0.00, 0.05)====animator.velocity========= 
[13:43:25.5749][2600][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.5909][2601][Info]: (-0.01, 0.00, 0.05)====animator.velocity========= 
[13:43:25.5909][2601][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.5909][2602][Info]: (-0.01, 0.00, 0.05)====animator.velocity========= 
[13:43:25.5909][2602][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.6079][2603][Info]: (-0.01, 0.00, 0.05)====animator.velocity========= 
[13:43:25.6079][2603][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.6079][2604][Info]: (-0.01, 0.00, 0.05)====animator.velocity========= 
[13:43:25.6189][2604][Info]: (0.00, 0.00, 2.64)=====transform.position======== 
[13:43:25.6189][2605][Info]: (-0.01, 0.00, 0.05)====animator.velocity========= 
[13:43:25.6189][2605][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.6189][2606][Info]: (-0.01, 0.00, 0.04)====animator.velocity========= 
[13:43:25.6348][2606][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.6348][2607][Info]: (-0.01, 0.00, 0.04)====animator.velocity========= 
[13:43:25.6348][2607][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.6348][2608][Info]: (-0.01, 0.00, 0.04)====animator.velocity========= 
[13:43:25.6348][2608][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.6579][2609][Info]: (-0.01, 0.00, 0.04)====animator.velocity========= 
[13:43:25.6579][2609][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.6579][2610][Info]: (-0.01, 0.00, 0.04)====animator.velocity========= 
[13:43:25.6659][2610][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.6659][2611][Info]: (-0.01, 0.00, 0.04)====animator.velocity========= 
[13:43:25.6659][2611][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.6659][2612][Info]: (-0.01, 0.00, 0.04)====animator.velocity========= 
[13:43:25.6659][2612][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.6878][2613][Info]: (-0.01, 0.00, 0.04)====animator.velocity========= 
[13:43:25.6878][2613][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.6878][2614][Info]: (-0.01, 0.00, 0.04)====animator.velocity========= 
[13:43:25.6878][2614][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.7038][2615][Info]: (-0.01, 0.00, 0.04)====animator.velocity========= 
[13:43:25.7038][2615][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.7038][2616][Info]: (-0.01, 0.00, 0.04)====animator.velocity========= 
[13:43:25.7038][2616][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.7188][2617][Info]: (-0.01, 0.00, 0.04)====animator.velocity========= 
[13:43:25.7188][2617][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.7188][2618][Info]: (-0.01, 0.00, 0.04)====animator.velocity========= 
[13:43:25.7188][2618][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.7338][2619][Info]: (-0.01, 0.00, 0.04)====animator.velocity========= 
[13:43:25.7338][2619][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.7338][2620][Info]: (-0.01, 0.00, 0.04)====animator.velocity========= 
[13:43:25.7438][2620][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.7438][2621][Info]: (-0.01, 0.00, 0.04)====animator.velocity========= 
[13:43:25.7438][2621][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.7598][2622][Info]: (-0.01, 0.00, 0.04)====animator.velocity========= 
[13:43:25.7598][2622][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.7598][2623][Info]: (-0.01, 0.00, 0.04)====animator.velocity========= 
[13:43:25.7598][2623][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.7768][2624][Info]: (-0.01, 0.00, 0.04)====animator.velocity========= 
[13:43:25.7768][2624][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.7768][2625][Info]: (-0.01, 0.00, 0.04)====animator.velocity========= 
[13:43:25.7768][2625][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.7908][2626][Info]: (-0.01, 0.00, 0.04)====animator.velocity========= 
[13:43:25.7908][2626][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.7908][2627][Info]: (-0.01, 0.00, 0.04)====animator.velocity========= 
[13:43:25.7908][2627][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.8068][2628][Info]: (-0.01, 0.00, 0.03)====animator.velocity========= 
[13:43:25.8068][2628][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.8068][2629][Info]: (-0.01, 0.00, 0.03)====animator.velocity========= 
[13:43:25.8068][2629][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.8258][2630][Info]: (-0.01, 0.00, 0.03)====animator.velocity========= 
[13:43:25.8258][2630][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.8258][2631][Info]: (-0.01, 0.00, 0.03)====animator.velocity========= 
[13:43:25.8258][2631][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.8408][2632][Info]: (-0.01, 0.00, 0.03)====animator.velocity========= 
[13:43:25.8408][2632][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.8408][2633][Info]: (-0.01, 0.00, 0.03)====animator.velocity========= 
[13:43:25.8408][2633][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.8548][2634][Info]: (-0.01, 0.00, 0.03)====animator.velocity========= 
[13:43:25.8548][2634][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.8548][2635][Info]: (-0.01, 0.00, 0.03)====animator.velocity========= 
[13:43:25.8548][2635][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.8708][2636][Info]: (-0.01, 0.00, 0.03)====animator.velocity========= 
[13:43:25.8708][2636][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
[13:43:25.8708][2637][Info]: (-0.01, 0.00, 0.03)====animator.velocity========= 
[13:43:25.8708][2637][Info]: (0.00, 0.00, 2.65)=====transform.position======== 
