[15:03:04.6153][1][Info]: enter Launch procedure 
[15:03:04.7543][1][Info]: ===>加载配置 
[15:03:06.4455][1][Info]: ===>开始解析BuffConfig 
[15:03:06.4694][1][Info]: <===解析BuffConfig完毕 
[15:03:06.4694][1][Info]: ===>开始解析SkillConfig 
[15:03:06.4994][1][Info]: <===解析SkillConfig完毕 
[15:03:06.5124][1][Info]: <===配置加载完毕 
[15:03:06.6000][2][Info]: enter Init Procedure 
[15:03:06.6089][2][Warn]: Not found awake system:<PlayerComponent> 
[15:03:12.5249][680][Info]: 登录 
[15:03:12.5249][680][Info]: 1001 
[15:03:12.5419][680][Info]: 大厅阶段 
[15:03:12.6069][681][Info]: Scene Add Entity, Current Count:1 
[15:03:17.7869][1207][Info]: Scene Remove Entity, Current Count:0 
[15:03:17.7869][1207][Info]: Scene Add Entity, Current Count:1 
[15:03:20.2236][1459][Info]: 2=====transform.position======== 
[15:03:20.2346][1460][Info]: 4=====transform.position======== 
[15:03:20.2576][1462][Info]: 5=====transform.position======== 
[15:03:20.2796][1465][Info]: 5=====transform.position======== 
[15:03:20.2956][1467][Info]: 5=====transform.position======== 
[15:03:20.3186][1470][Info]: 5=====transform.position======== 
[15:03:20.3346][1472][Info]: 5=====transform.position======== 
[15:03:20.3586][1475][Info]: 5=====transform.position======== 
[15:03:20.3745][1477][Info]: 5=====transform.position======== 
[15:03:20.4005][1480][Info]: 5=====transform.position======== 
[15:03:20.4005][1481][Info]: 5=====transform.position======== 
[15:03:20.4405][1483][Info]: 5=====transform.position======== 
[15:03:20.4565][1485][Info]: 5=====transform.position======== 
[15:03:20.4795][1488][Info]: 5=====transform.position======== 
[15:03:20.4955][1490][Info]: 5=====transform.position======== 
[15:03:20.5205][1493][Info]: 5=====transform.position======== 
[15:03:20.5375][1495][Info]: 3=====transform.position======== 
[15:03:20.5585][1497][Info]: 1=====transform.position======== 
[15:03:20.5795][1499][Info]: 0=====transform.position======== 
[15:03:21.3602][1604][Info]: 2=====transform.position======== 
[15:03:21.3762][1606][Info]: 4=====transform.position======== 
[15:03:21.3992][1609][Info]: 5=====transform.position======== 
[15:03:21.4152][1611][Info]: 5=====transform.position======== 
[15:03:21.4352][1613][Info]: 5=====transform.position======== 
[15:03:21.4592][1616][Info]: 5=====transform.position======== 
[15:03:21.4792][1618][Info]: 5=====transform.position======== 
[15:03:21.4992][1620][Info]: 3=====transform.position======== 
[15:03:21.5162][1622][Info]: 1=====transform.position======== 
[15:03:21.5402][1625][Info]: 0=====transform.position======== 
[15:03:22.9792][1825][Info]: 2=====transform.position======== 
[15:03:22.9942][1827][Info]: 4=====transform.position======== 
[15:03:23.0162][1829][Info]: 5=====transform.position======== 
[15:03:23.0362][1831][Info]: 5=====transform.position======== 
[15:03:23.0632][1834][Info]: 5=====transform.position======== 
[15:03:23.0792][1836][Info]: 5=====transform.position======== 
[15:03:23.0952][1838][Info]: 5=====transform.position======== 
[15:03:23.1182][1841][Info]: 5=====transform.position======== 
[15:03:23.1422][1844][Info]: 5=====transform.position======== 
[15:03:23.1582][1846][Info]: 5=====transform.position======== 
[15:03:23.1822][1848][Info]: 5=====transform.position======== 
[15:03:23.1992][1850][Info]: 5=====transform.position======== 
[15:03:23.2152][1852][Info]: 5=====transform.position======== 
[15:03:23.2381][1855][Info]: 5=====transform.position======== 
[15:03:23.2551][1857][Info]: 5=====transform.position======== 
[15:03:23.2751][1859][Info]: 5=====transform.position======== 
[15:03:23.3011][1862][Info]: 3=====transform.position======== 
[15:03:23.3211][1864][Info]: 1=====transform.position======== 
[15:03:23.3411][1866][Info]: 0=====transform.position======== 
[15:03:24.4764][2018][Info]: 2=====transform.position======== 
[15:03:24.5004][2021][Info]: 4=====transform.position======== 
[15:03:24.5164][2023][Info]: 5=====transform.position======== 
[15:03:24.5394][2026][Info]: 3=====transform.position======== 
[15:03:24.5634][2028][Info]: 1=====transform.position======== 
[15:03:24.5794][2030][Info]: 0=====transform.position======== 
[15:03:25.0542][2094][Info]: 2=====transform.position======== 
[15:03:25.0772][2097][Info]: 4=====transform.position======== 
[15:03:25.0972][2099][Info]: 5=====transform.position======== 
[15:03:25.1202][2102][Info]: 5=====transform.position======== 
[15:03:25.1372][2104][Info]: 5=====transform.position======== 
[15:03:25.1572][2106][Info]: 5=====transform.position======== 
[15:03:25.1772][2108][Info]: 5=====transform.position======== 
[15:03:25.2002][2111][Info]: 5=====transform.position======== 
[15:03:25.2152][2113][Info]: 5=====transform.position======== 
[15:03:25.2382][2116][Info]: 5=====transform.position======== 
[15:03:25.2612][2119][Info]: 5=====transform.position======== 
[15:03:25.2782][2121][Info]: 3=====transform.position======== 
[15:03:25.2981][2123][Info]: 1=====transform.position======== 
[15:03:25.3221][2125][Info]: 0=====transform.position======== 
[15:03:26.2344][2250][Info]: 2=====transform.position======== 
[15:03:26.2584][2253][Info]: 4=====transform.position======== 
[15:03:26.2744][2255][Info]: 5=====transform.position======== 
[15:03:26.2974][2258][Info]: 5=====transform.position======== 
[15:03:26.3174][2260][Info]: 5=====transform.position======== 
[15:03:26.3394][2263][Info]: 5=====transform.position======== 
[15:03:26.3554][2265][Info]: 5=====transform.position======== 
[15:03:26.3784][2268][Info]: 5=====transform.position======== 
[15:03:26.4014][2270][Info]: 5=====transform.position======== 
[15:03:26.4174][2272][Info]: 5=====transform.position======== 
[15:03:26.4344][2274][Info]: 5=====transform.position======== 
[15:03:26.4574][2277][Info]: 5=====transform.position======== 
[15:03:26.4804][2280][Info]: 5=====transform.position======== 
[15:03:26.4964][2282][Info]: 5=====transform.position======== 
[15:03:26.5224][2285][Info]: 5=====transform.position======== 
[15:03:26.5434][2287][Info]: 5=====transform.position======== 
[15:03:26.5563][2288][Info]: 5=====transform.position======== 
[15:03:26.5803][2291][Info]: 5=====transform.position======== 
[15:03:26.5963][2293][Info]: 5=====transform.position======== 
[15:03:26.6213][2296][Info]: 3=====transform.position======== 
[15:03:26.6373][2298][Info]: 1=====transform.position======== 
[15:03:26.6603][2301][Info]: 0=====transform.position======== 
[15:03:28.0948][2497][Info]: 2=====transform.position======== 
[15:03:28.1185][2500][Info]: 4=====transform.position======== 
[15:03:28.1345][2502][Info]: 5=====transform.position======== 
[15:03:28.1545][2504][Info]: 5=====transform.position======== 
[15:03:28.1775][2507][Info]: 5=====transform.position======== 
[15:03:28.2005][2510][Info]: 5=====transform.position======== 
[15:03:28.2215][2512][Info]: 5=====transform.position======== 
[15:03:28.2345][2513][Info]: 5=====transform.position======== 
[15:03:28.2575][2516][Info]: 5=====transform.position======== 
[15:03:28.2804][2519][Info]: 5=====transform.position======== 
[15:03:28.2974][2521][Info]: 5=====transform.position======== 
[15:03:28.3194][2524][Info]: 5=====transform.position======== 
[15:03:28.3354][2526][Info]: 5=====transform.position======== 
[15:03:28.3554][2528][Info]: 5=====transform.position======== 
[15:03:28.3774][2530][Info]: 5=====transform.position======== 
[15:03:28.3984][2532][Info]: 5=====transform.position======== 
[15:03:28.4204][2535][Info]: 5=====transform.position======== 
[15:03:28.4374][2537][Info]: 5=====transform.position======== 
[15:03:28.4594][2540][Info]: 5=====transform.position======== 
[15:03:28.4764][2542][Info]: 5=====transform.position======== 
[15:03:28.4994][2545][Info]: 5=====transform.position======== 
[15:03:28.5154][2547][Info]: 5=====transform.position======== 
[15:03:28.5394][2549][Info]: 3=====transform.position======== 
[15:03:28.5594][2551][Info]: 1=====transform.position======== 
[15:03:28.5754][2553][Info]: 0=====transform.position======== 
[15:03:29.1742][2630][Info]: 2=====transform.position======== 
[15:03:29.1962][2633][Info]: 4=====transform.position======== 
[15:03:29.2181][2636][Info]: 5=====transform.position======== 
[15:03:29.2411][2639][Info]: 5=====transform.position======== 
[15:03:29.2571][2641][Info]: 5=====transform.position======== 
[15:03:29.2801][2644][Info]: 5=====transform.position======== 
[15:03:29.2991][2646][Info]: 5=====transform.position======== 
[15:03:29.3181][2648][Info]: 5=====transform.position======== 
[15:03:29.3351][2650][Info]: 5=====transform.position======== 
[15:03:29.3581][2653][Info]: 5=====transform.position======== 
[15:03:29.3781][2655][Info]: 5=====transform.position======== 
[15:03:29.3941][2657][Info]: 5=====transform.position======== 
[15:03:29.4171][2660][Info]: 5=====transform.position======== 
[15:03:29.4411][2663][Info]: 5=====transform.position======== 
[15:03:29.4541][2664][Info]: 5=====transform.position======== 
[15:03:29.4741][2666][Info]: 5=====transform.position======== 
[15:03:29.4961][2669][Info]: 5=====transform.position======== 
[15:03:29.5200][2672][Info]: 5=====transform.position======== 
[15:03:29.5360][2674][Info]: 5=====transform.position======== 
[15:03:29.5590][2677][Info]: 5=====transform.position======== 
[15:03:29.5800][2679][Info]: 5=====transform.position======== 
[15:03:29.5960][2681][Info]: 5=====transform.position======== 
[15:03:29.6200][2683][Info]: 5=====transform.position======== 
[15:03:29.6360][2685][Info]: 5=====transform.position======== 
[15:03:29.6590][2688][Info]: 5=====transform.position======== 
[15:03:29.6760][2690][Info]: 5=====transform.position======== 
[15:03:29.7000][2693][Info]: 5=====transform.position======== 
[15:03:29.7170][2695][Info]: 5=====transform.position======== 
[15:03:29.7350][2697][Info]: 5=====transform.position======== 
[15:03:29.7630][2700][Info]: 3=====transform.position======== 
[15:03:29.7760][2701][Info]: 1=====transform.position======== 
[15:03:29.7970][2703][Info]: 0=====transform.position======== 
[15:03:31.1553][2888][Info]: 2=====transform.position======== 
[15:03:31.1783][2891][Info]: 4=====transform.position======== 
[15:03:31.1943][2893][Info]: 5=====transform.position======== 
[15:03:31.2153][2895][Info]: 5=====transform.position======== 
[15:03:31.2383][2898][Info]: 5=====transform.position======== 
[15:03:31.2543][2900][Info]: 5=====transform.position======== 
[15:03:31.2783][2903][Info]: 5=====transform.position======== 
[15:03:31.3023][2905][Info]: 5=====transform.position======== 
